year,team,hitsFor,penalityMinutesFor,standing
2009-2010,WSH,3462,1700,1
2009-2010,S.J,3868,2134,2
2009-2010,CHI,3110,1668,3
2009-2010,ARI,3604,1700,4
2009-2010,VAN,2998,2238,5
2009-2010,N.J,3200,1586,6
2009-2010,DET,3944,1382,7
2009-2010,PIT,4244,2130,8
2009-2010,L.A,4244,1826,9
2009-2010,NSH,2838,1372,10
2009-2010,BUF,2776,1684,11
2009-2010,COL,3136,1982,12
2009-2010,OTT,3878,1970,13
2009-2010,BOS,3870,1754,14
2009-2010,STL,3520,2412,15
2009-2010,CGY,3416,2158,16
2009-2010,ANA,4100,2374,17
2009-2010,PHI,3614,2520,18
2009-2010,MTL,3084,1800,19
2009-2010,DAL,4676,1846,20
2009-2010,NYR,4660,2034,21
2009-2010,MIN,3492,1694,22
2009-2010,ATL,2938,2010,23
2009-2010,CAR,4182,1792,24
2009-2010,T.B,3300,2394,25
2009-2010,NYI,3658,1716,26
2009-2010,CBJ,4150,2040,27
2009-2010,FLA,3620,1782,28
2009-2010,TOR,3554,1918,29
2009-2010,EDM,3132,2006,30
