year,team,hitsFor,penalityMinutesFor,standing
2008-2009,S.J,4084,1918,1
2008-2009,BOS,3584,1842,2
2008-2009,DET,2914,1596,3
2008-2009,WSH,3324,2002,4
2008-2009,N.J,2896,2056,5
2008-2009,CHI,3040,2054,6
2008-2009,VAN,2588,2390,7
2008-2009,PIT,3878,2052,8
2008-2009,PHI,3424,2632,9
2008-2009,CGY,3062,2282,10
2008-2009,CAR,3432,1568,11
2008-2009,NYR,4756,2194,12
2008-2009,MTL,3948,2246,13
2008-2009,FLA,3124,1688,14
2008-2009,STL,3222,2348,15
2008-2009,CBJ,3838,2174,16
2008-2009,ANA,3516,2620,17
2008-2009,BUF,2916,1990,18
2008-2009,MIN,2936,1694,19
2008-2009,NSH,3342,1920,20
2008-2009,EDM,2786,2270,21
2008-2009,OTT,3916,1984,22
2008-2009,DAL,4152,2084,23
2008-2009,TOR,3472,2004,24
2008-2009,ARI,3586,1928,25
2008-2009,L.A,4256,2222,26
2008-2009,ATL,2836,2268,27
2008-2009,COL,2924,1908,28
2008-2009,T.B,3748,2304,29
2008-2009,NYI,3656,2196,30
