year,team,hitsFor,penalityMinutesFor,standing
2013-2014,BOS,4016,1672,1
2013-2014,ANA,4048,1644,2
2013-2014,COL,4070,1418,3
2013-2014,STL,3678,1752,4
2013-2014,S.J,3264,1314,5
2013-2014,PIT,4324,1516,6
2013-2014,CHI,2750,1222,7
2013-2014,T.B,3284,1520,8
2013-2014,MTL,3444,1778,9
2013-2014,L.A,5218,1640,10
2013-2014,MIN,2824,1438,11
2013-2014,NYR,3810,1414,12
2013-2014,PHI,4348,1900,13
2013-2014,CBJ,5218,1664,14
2013-2014,DET,3242,1346,15
2013-2014,DAL,3288,1512,16
2013-2014,WSH,3808,1644,17
2013-2014,ARI,4346,1424,18
2013-2014,NSH,3222,1436,19
2013-2014,N.J,3136,1208,20
2013-2014,OTT,4702,1932,21
2013-2014,WPG,4626,1686,22
2013-2014,TOR,5184,1764,23
2013-2014,CAR,3614,1220,24
2013-2014,VAN,3420,1702,25
2013-2014,NYI,4184,1658,26
2013-2014,CGY,3416,1424,27
2013-2014,EDM,3502,1712,28
2013-2014,FLA,3720,1496,29
2013-2014,BUF,3984,1598,30
