year,team,hitsFor,penalityMinutesFor,standing
2015-2016,WSH,3988,1398,1
2015-2016,DAL,3112,1342,2
2015-2016,STL,3874,1554,3
2015-2016,PIT,3894,1334,4
2015-2016,CHI,2778,1142,5
2015-2016,ANA,4468,1766,6
2015-2016,FLA,3820,1538,7
2015-2016,L.A,4990,1612,8
2015-2016,NYR,4328,1316,9
2015-2016,NYI,4622,1308,10
2015-2016,S.J,3372,1334,11
2015-2016,T.B,3364,1446,12
2015-2016,PHI,4392,1632,13
2015-2016,NSH,3772,1428,14
2015-2016,DET,3302,1360,15
2015-2016,BOS,4328,1618,16
2015-2016,MIN,2812,1050,17
2015-2016,CAR,3100,1048,18
2015-2016,OTT,4524,1540,19
2015-2016,N.J,3680,1436,20
2015-2016,COL,3696,1368,21
2015-2016,MTL,3866,1388,22
2015-2016,BUF,3832,1222,23
2015-2016,ARI,3630,1638,24
2015-2016,WPG,4206,1636,25
2015-2016,CGY,3400,1240,26
2015-2016,CBJ,4290,1722,27
2015-2016,VAN,3066,1426,28
2015-2016,EDM,3636,1392,29
2015-2016,TOR,4238,1388,30
