year,team,hitsFor,penalityMinutesFor,standing
2011-2012,VAN,3652,1774,1
2011-2012,NYR,4838,1930,2
2011-2012,STL,3898,1912,3
2011-2012,PIT,4116,1656,4
2011-2012,NSH,3028,1294,5
2011-2012,PHI,4116,2176,6
2011-2012,BOS,3556,1922,7
2011-2012,DET,3224,1350,8
2011-2012,N.J,3352,1548,9
2011-2012,CHI,3000,1452,10
2011-2012,ARI,4168,1398,11
2011-2012,S.J,3130,1370,12
2011-2012,L.A,4548,1714,13
2011-2012,FLA,3716,1440,14
2011-2012,WSH,3944,1438,15
2011-2012,OTT,3950,1982,16
2011-2012,CGY,3206,1630,17
2011-2012,DAL,4470,1716,18
2011-2012,BUF,3024,1594,19
2011-2012,COL,3778,1640,20
2011-2012,T.B,3576,1538,21
2011-2012,WPG,3932,1722,22
2011-2012,CAR,3398,1410,23
2011-2012,MIN,3542,1832,24
2011-2012,ANA,3712,1718,25
2011-2012,TOR,4436,1536,26
2011-2012,NYI,3680,1386,27
2011-2012,MTL,3680,1720,28
2011-2012,EDM,3264,1672,29
2011-2012,CBJ,4036,1822,30
