year,team,hitsFor,penalityMinutesFor,standing
2022-2023,BOS,3850,1574,1
2022-2023,CAR,2702,1164,2
2022-2023,NJD,2732,1120,3
2022-2023,TOR,3550,1270,4
2022-2023,VGK,3860,1046,5
2022-2023,EDM,3748,1356,6
2022-2023,COL,3226,1258,7
2022-2023,DAL,3296,1166,8
2022-2023,NYR,3956,1210,9
2022-2023,LAK,3484,1338,10
2022-2023,MIN,3568,1562,11
2022-2023,SEA,3604,1264,12
2022-2023,TBL,4052,1602,13
2022-2023,WPG,3578,1338,14
2022-2023,NYI,4278,1176,15
2022-2023,WSH,4030,1310,15
2022-2023,CGY,3962,1374,16
2022-2023,FLA,3510,1588,17
2022-2023,NSH,4484,1478,18
2022-2023,PIT,4616,1214,19
2022-2023,BUF,2342,1116,20
2022-2023,OTT,4580,1654,21
2022-2023,VAN,4048,1360,22
2022-2023,STL,3628,1118,23
2022-2023,DET,3624,1216,24
2022-2023,PHI,4446,1442,26
2022-2023,ARI,4190,1636,27
2022-2023,MTL,3194,1534,28
2022-2023,SJS,3742,1254,29
2022-2023,CHI,3944,1238,30
2022-2023,CBJ,3760,1208,31
,ANA,2568,1518,32
