year,team,hitsFor,penalityMinutesFor,standing
2010-2011,VAN,3582,1738,1
2010-2011,WSH,3770,1772,2
2010-2011,PHI,3810,1998,3
2010-2011,PIT,4560,2484,4
2010-2011,S.J,3602,1742,5
2010-2011,DET,3588,1436,6
2010-2011,BOS,3472,2070,7
2010-2011,T.B,3294,1602,8
2010-2011,ANA,3872,2072,9
2010-2011,NSH,3368,1384,10
2010-2011,ARI,3762,1562,11
2010-2011,L.A,4254,1736,12
2010-2011,CHI,3648,1396,13
2010-2011,MTL,3316,1878,14
2010-2011,BUF,3010,1720,15
2010-2011,DAL,4424,1896,16
2010-2011,CGY,3328,1632,17
2010-2011,NYR,4666,1876,18
2010-2011,CAR,4256,1542,19
2010-2011,STL,3916,2178,20
2010-2011,MIN,3730,1778,21
2010-2011,TOR,4096,1794,22
2010-2011,N.J,3078,1450,23
2010-2011,CBJ,4632,2050,24
2010-2011,ATL,3024,1652,25
2010-2011,OTT,3316,1986,26
2010-2011,NYI,3616,2350,27
2010-2011,FLA,3790,1368,28
2010-2011,COL,3452,1922,29
2010-2011,EDM,3588,2092,30
