year,team,hitsFor,penalityMinutesFor,standing
2016-2017,WSH,3454,1416,1
2016-2017,PIT,4120,1310,2
2016-2017,CHI,2356,1052,3
2016-2017,CBJ,3308,1332,4
2016-2017,MIN,2568,1186,5
2016-2017,ANA,4292,1768,6
2016-2017,MTL,3728,1394,7
2016-2017,EDM,4146,1384,8
2016-2017,NYR,3430,1158,9
2016-2017,STL,3376,1312,10
2016-2017,S.J,3078,1164,11
2016-2017,OTT,4228,1548,12
2016-2017,BOS,3552,1538,13
2016-2017,TOR,3872,1422,14
2016-2017,CGY,3100,1656,15
2016-2017,BUF,3744,1290,16
2016-2017,NSH,3320,1510,16
2016-2017,NYI,4252,1216,17
2016-2017,T.B,3684,1574,18
2016-2017,PHI,4126,1472,19
2016-2017,WPG,3812,1534,20
2016-2017,CAR,3222,900,21
2016-2017,L.A,4646,1372,22
2016-2017,FLA,3330,1474,23
2016-2017,DAL,3104,1452,24
2016-2017,DET,3288,1344,25
2016-2017,N.J,3322,1466,27
2016-2017,ARI,4196,1410,28
2016-2017,VAN,2942,1136,29
2016-2017,COL,3374,1414,30
