year,team,hitsFor,penalityMinutesFor,standing
2014-2015,NYR,3826,1292,1
2014-2015,MTL,3392,1482,2
2014-2015,ANA,4602,1584,3
2014-2015,STL,3694,1588,4
2014-2015,T.B,3518,1468,5
2014-2015,NSH,3382,1246,6
2014-2015,CHI,2714,1100,7
2014-2015,VAN,3164,1528,8
2014-2015,WSH,4670,1594,9
2014-2015,NYI,5370,1184,10
2014-2015,MIN,2646,1338,11
2014-2015,DET,3138,1384,12
2014-2015,OTT,4558,1518,13
2014-2015,WPG,4818,1840,14
2014-2015,PIT,4990,1778,15
2014-2015,CGY,3564,1132,16
2014-2015,BOS,4224,1376,17
2014-2015,L.A,5260,1348,18
2014-2015,DAL,3314,1442,19
2014-2015,FLA,4536,1370,20
2014-2015,COL,4036,1366,21
2014-2015,S.J,3860,1336,22
2014-2015,CBJ,5020,1832,23
2014-2015,PHI,5022,1458,24
2014-2015,N.J,3292,1412,25
2014-2015,CAR,3906,1034,26
2014-2015,TOR,5090,1486,27
2014-2015,EDM,3960,1314,28
2014-2015,ARI,4978,1512,29
2014-2015,BUF,4408,1478,30
