year,team,hitsFor,penalityMinutesFor,standing
2018-2019,T.B,4228,1390,1
2018-2019,CGY,2466,1260,2
2018-2019,BOS,3748,1386,3
2018-2019,WSH,3768,1306,4
2018-2019,NYI,4060,1140,5
2018-2019,S.J,3142,1252,6
2018-2019,TOR,2842,912,7
2018-2019,NSH,2984,1256,8
2018-2019,PIT,4724,1198,9
2018-2019,WPG,3682,1302,10
2018-2019,CAR,4144,1158,11
2018-2019,STL,3222,1138,12
2018-2019,CBJ,3482,972,13
2018-2019,MTL,4400,1204,14
2018-2019,DAL,3640,1186,15
2018-2019,VGK,4536,1062,16
2018-2019,COL,3396,1360,17
2018-2019,ARI,4048,1082,18
2018-2019,FLA,3796,1172,19
2018-2019,CHI,2698,1056,20
2018-2019,MIN,3182,1212,21
2018-2019,PHI,3510,1222,22
2018-2019,VAN,3598,1230,23
2018-2019,ANA,3800,1296,24
2018-2019,EDM,4382,1264,25
2018-2019,NYR,4256,1448,26
2018-2019,BUF,3130,1070,27
2018-2019,DET,3502,1190,28
2018-2019,N.J,3848,1302,29
2018-2019,L.A,3814,1154,30
2018-2019,OTT,3566,1214,31
